input,output
POWER=3 TOUGHNESS=3,MANA={4}{G}
POWER=3 TOUGHNESS=5,MANA={4}{W}
POWER=2 TOUGHNESS=2,MANA={1}{B}
POWER=2 TOUGHNESS=2,MANA={4}{B}
POWER=2 TOUGHNESS=2,MANA={2}{B}
POWER=2 TOUGHNESS=1,MANA={3}
POWER=1 TOUGHNESS=3,MANA={1}{W}
POWER=4 TOUGHNESS=4,MANA={3}{G}
POWER=3 TOUGHNESS=1,MANA={3}{U}
POWER=3 TOUGHNESS=3,MANA={4}
POWER=10 TOUGHNESS=4,MANA={5}{B}{B}{B}
POWER=2 TOUGHNESS=4,MANA={3}{G}{G}
POWER=5 TOUGHNESS=5,MANA={2}{R}{R}
POWER=4 TOUGHNESS=5,MANA={1}{B}{B}{B}
POWER=2 TOUGHNESS=2,MANA={R}{G}
POWER=4 TOUGHNESS=6,MANA={5}{W}
POWER=2 TOUGHNESS=4,MANA={2}{W}{U}
POWER=3 TOUGHNESS=3,MANA={3}{R}
POWER=6 TOUGHNESS=6,MANA={W}{U}{B}{R}{G}
POWER=2 TOUGHNESS=2,MANA={1}{B}
POWER=6 TOUGHNESS=6,MANA={4}{B}{B}
POWER=3 TOUGHNESS=2,MANA={3}
POWER=6 TOUGHNESS=5,MANA={3}{G}{G}
POWER=2 TOUGHNESS=2,MANA={1}{W}{U}
POWER=2 TOUGHNESS=1,MANA={1}{W}
POWER=2 TOUGHNESS=5,MANA={3}{W}{U}
POWER=3 TOUGHNESS=3,MANA={4}{W}
POWER=2 TOUGHNESS=4,MANA={1}{G}{G}
POWER=3 TOUGHNESS=4,MANA={4}{W}
POWER=3 TOUGHNESS=2,MANA={3}{G/W}{G/W}
POWER=2 TOUGHNESS=1,MANA={2}{R}
POWER=2 TOUGHNESS=3,MANA={2}{B}
POWER=2 TOUGHNESS=2,MANA={R}
POWER=0 TOUGHNESS=5,MANA={1}{U}
POWER=1 TOUGHNESS=2,MANA={U}
POWER=3 TOUGHNESS=1,MANA={2}{G/W}
POWER=1 TOUGHNESS=4,MANA={1}{W}
POWER=3 TOUGHNESS=3,MANA={2}{U/B}{U/B}
POWER=1 TOUGHNESS=1,MANA={2}{G}
POWER=3 TOUGHNESS=1,MANA={1}{W}
POWER=2 TOUGHNESS=4,MANA={1}{B}{B}{B}
POWER=* TOUGHNESS=5,MANA={2}{G}
POWER=2 TOUGHNESS=4,MANA={3}{U}{B}
POWER=3 TOUGHNESS=1,MANA={1}{R}
POWER=1 TOUGHNESS=1,MANA=
POWER=6 TOUGHNESS=6,MANA=
POWER=3 TOUGHNESS=2,MANA={2}{R}
POWER=3 TOUGHNESS=3,MANA={2}{G}{W}{U}
POWER=2 TOUGHNESS=2,MANA={W}{B}
POWER=1 TOUGHNESS=1,MANA={G}
POWER=3 TOUGHNESS=3,MANA={3}{W}
POWER=0 TOUGHNESS=0,MANA={X}{1}{G}
POWER=3 TOUGHNESS=3,MANA={3}{B}
POWER=1 TOUGHNESS=1,MANA={G}
POWER=6 TOUGHNESS=6,MANA={4}{G}{G}
POWER=0 TOUGHNESS=4,MANA={2}
POWER=3 TOUGHNESS=3,MANA={G}{W}
POWER=5 TOUGHNESS=5,MANA={2}{R}{R}
POWER=4 TOUGHNESS=4,MANA={4}{B}{B}
POWER=5 TOUGHNESS=4,MANA={2}{U}{R}
POWER=3 TOUGHNESS=3,MANA={G}{G}
POWER=2 TOUGHNESS=1,MANA={R}
POWER=2 TOUGHNESS=2,MANA={B/G}{B/G}
POWER=1 TOUGHNESS=1,MANA={2}{U}
POWER=* TOUGHNESS=*,MANA=
POWER=4 TOUGHNESS=4,MANA={4}{G}{G}
POWER=3 TOUGHNESS=2,MANA={2}{B/R}
POWER=3 TOUGHNESS=3,MANA={3}{W}
POWER=3 TOUGHNESS=2,MANA={2}{G}
POWER=4 TOUGHNESS=3,MANA={2}{R}{R}
POWER=2 TOUGHNESS=2,MANA={1}{W}
POWER=3 TOUGHNESS=1,MANA={3}{B}
POWER=2 TOUGHNESS=3,MANA={2}{W}
POWER=2 TOUGHNESS=2,MANA={1}{B/G}{B/G}
POWER=3 TOUGHNESS=3,MANA={1}{B}{R}
POWER=1 TOUGHNESS=1,MANA={B}
POWER=2 TOUGHNESS=4,MANA={2}{R}{W}
POWER=4 TOUGHNESS=4,MANA={4}{G}
POWER=3 TOUGHNESS=3,MANA={2}{G}
POWER=3 TOUGHNESS=5,MANA={2}{U}{U}
POWER=4 TOUGHNESS=4,MANA={2}{G}{W}
POWER=3 TOUGHNESS=3,MANA={R}{W}
POWER=5 TOUGHNESS=5,MANA={5}{W}{W}
POWER=3 TOUGHNESS=3,MANA={3}{W}
POWER=3 TOUGHNESS=3,MANA={2}{R}{R}
POWER=4 TOUGHNESS=4,MANA={5}{W}{W}
POWER=3 TOUGHNESS=3,MANA={2}{B}{B}
POWER=2 TOUGHNESS=1,MANA={1}{G}
POWER=2 TOUGHNESS=1,MANA={1}{R}
POWER=4 TOUGHNESS=5,MANA={5}{B}
POWER=4 TOUGHNESS=4,MANA={2}{R}{W}
POWER=0 TOUGHNESS=2,MANA={1}{U}{R}
POWER=0 TOUGHNESS=0,MANA={3}{U}
POWER=0 TOUGHNESS=3,MANA={1}{U/B}
POWER=7 TOUGHNESS=7,MANA={W}{U}{B}{R}{G}
POWER=2 TOUGHNESS=3,MANA={2}{R}
POWER=2 TOUGHNESS=4,MANA={2}{G}{G}
POWER=2 TOUGHNESS=2,MANA={2}{B}
POWER=2 TOUGHNESS=2,MANA={1}{W}{W}
POWER=1 TOUGHNESS=1,MANA={3}{R}
POWER=2 TOUGHNESS=3,MANA={2}{W}{W}
POWER=3 TOUGHNESS=3,MANA={2}{G}{U}
POWER=3 TOUGHNESS=4,MANA={R/W}{R/W}{R/W}{R/W}{R/W}
POWER=* TOUGHNESS=3,MANA={1}{R}{G}
POWER=* TOUGHNESS=*,MANA={4}{G}
POWER=3 TOUGHNESS=6,MANA={5}{W}
POWER=3 TOUGHNESS=3,MANA={1}{U}{B}
POWER=5 TOUGHNESS=4,MANA={2}{R}{R}
POWER=* TOUGHNESS=*,MANA={5}{G}{U}
POWER=2 TOUGHNESS=2,MANA={4}{B}
POWER=3 TOUGHNESS=2,MANA={4}{U}
POWER=1 TOUGHNESS=1,MANA={2}{U}
POWER=1 TOUGHNESS=2,MANA={2}{U}
POWER=3 TOUGHNESS=3,MANA={3}{R}
POWER=2 TOUGHNESS=4,MANA={2}{W}
POWER=2 TOUGHNESS=2,MANA={2}{W}{W}
POWER=2 TOUGHNESS=2,MANA={1}{W}{U}
POWER=0 TOUGHNESS=1,MANA={2}{R}
POWER=3 TOUGHNESS=1,MANA={1}{B}
POWER=6 TOUGHNESS=6,MANA={5}{U}{U}
POWER=5 TOUGHNESS=4,MANA={5}{R}
POWER=2 TOUGHNESS=1,MANA={1}{G}
POWER=3 TOUGHNESS=3,MANA={U/R}{U/R}
POWER=3 TOUGHNESS=3,MANA={4}{U}
POWER=0 TOUGHNESS=3,MANA={3}{U}{U}
POWER=4 TOUGHNESS=4,MANA=
POWER=1 TOUGHNESS=1,MANA={R}{R}
POWER=3 TOUGHNESS=1,MANA={2}{R}
POWER=2 TOUGHNESS=1,MANA={1}{B/R}
POWER=2 TOUGHNESS=1,MANA={B}
POWER=5 TOUGHNESS=5,MANA={3}{B}{R}
POWER=5 TOUGHNESS=4,MANA={5}{B}{B}
POWER=1 TOUGHNESS=1,MANA={2}{B}
POWER=5 TOUGHNESS=5,MANA={3}{U}{B}{R}
POWER=3 TOUGHNESS=2,MANA={2}{B}
POWER=3 TOUGHNESS=4,MANA={3}{U}{U}
POWER=5 TOUGHNESS=5,MANA={3}{G}{W}{U}
POWER=0 TOUGHNESS=5,MANA={1}{G}
POWER=2 TOUGHNESS=4,MANA={3}{G}
POWER=2 TOUGHNESS=1,MANA={1}{R}{R}
POWER=3 TOUGHNESS=5,MANA={3}{W}{W}
POWER=6 TOUGHNESS=6,MANA={5}{G}
POWER=3 TOUGHNESS=3,MANA={1}{R}{G}
POWER=2 TOUGHNESS=1,MANA={4}
POWER=5 TOUGHNESS=5,MANA={2}{G}{G}
POWER=2 TOUGHNESS=2,MANA={2}{R}
POWER=3 TOUGHNESS=4,MANA={3}{U}
POWER=7 TOUGHNESS=6,MANA={6}{G}{G}
POWER=3 TOUGHNESS=4,MANA=
POWER=0 TOUGHNESS=6,MANA={4}
POWER=2 TOUGHNESS=2,MANA={2}{R}{R}
POWER=2 TOUGHNESS=1,MANA={1}{R}
POWER=2 TOUGHNESS=2,MANA={2}{B}
POWER=5 TOUGHNESS=5,MANA={5}{G}{U}
POWER=3 TOUGHNESS=1,MANA={2}{W}
POWER=1 TOUGHNESS=1,MANA={R}
POWER=6 TOUGHNESS=6,MANA={6}{R}{R}
POWER=3 TOUGHNESS=3,MANA={4}{U}
POWER=1 TOUGHNESS=2,MANA={3}{B}
POWER=5 TOUGHNESS=5,MANA={4}{B}{B}
POWER=3 TOUGHNESS=4,MANA={3}{W}{W}
POWER=5 TOUGHNESS=4,MANA={4}{G/P}{G/P}
POWER=2 TOUGHNESS=2,MANA={1}{G}
POWER=2 TOUGHNESS=2,MANA={2}{U}
POWER=1 TOUGHNESS=1,MANA={W}
POWER=2 TOUGHNESS=3,MANA={2}{B}
POWER=3 TOUGHNESS=1,MANA={1}{W}
POWER=2 TOUGHNESS=3,MANA={2}{G}
POWER=2 TOUGHNESS=1,MANA={1}{U}
POWER=4 TOUGHNESS=5,MANA={4}{G}{W}
POWER=3 TOUGHNESS=1,MANA={2}{B}
POWER=3 TOUGHNESS=2,MANA={3}{U}
POWER=2 TOUGHNESS=1,MANA={1}{U}{U}
POWER=* TOUGHNESS=*,MANA={5}
POWER=1 TOUGHNESS=1,MANA={3}{R}
POWER=4 TOUGHNESS=5,MANA={5}
POWER=3 TOUGHNESS=3,MANA={G}{G}
POWER=3 TOUGHNESS=4,MANA={3}{W}{W}
POWER=1 TOUGHNESS=2,MANA={2}{B}
POWER=1 TOUGHNESS=1,MANA={W/B}{W/B}
POWER=2 TOUGHNESS=2,MANA={1}{R}{R}
POWER=1 TOUGHNESS=4,MANA={2}{U}
POWER=3 TOUGHNESS=4,MANA={2}{W}{W}
POWER=3 TOUGHNESS=3,MANA={3}{U} // {5}{U}{U}
POWER=4 TOUGHNESS=4,MANA={5}{B}
POWER=2 TOUGHNESS=2,MANA={2}{U}
POWER=2 TOUGHNESS=1,MANA={1}{B}
POWER=4 TOUGHNESS=3,MANA={3}{U}{B}{B}
POWER=1 TOUGHNESS=1,MANA={R}{W}
POWER=2 TOUGHNESS=2,MANA={3}{W}
POWER=2 TOUGHNESS=2,MANA={1}{W}
POWER=2 TOUGHNESS=2,MANA=
POWER=1 TOUGHNESS=1,MANA={R}
POWER=1 TOUGHNESS=4,MANA={1}{U/R}{U/R}
POWER=1 TOUGHNESS=2,MANA={3}{U}
POWER=2 TOUGHNESS=5,MANA={2}{U}{U}
POWER=3 TOUGHNESS=5,MANA={3}{G}{U}
POWER=1 TOUGHNESS=3,MANA={1}{U}
POWER=3 TOUGHNESS=4,MANA={3}{W}
POWER=5 TOUGHNESS=5,MANA={2}{G}{G}
POWER=2 TOUGHNESS=2,MANA={G}{G}{G}
POWER=0 TOUGHNESS=3,MANA={2}{R}
POWER=6 TOUGHNESS=5,MANA={4}{R}{R}
POWER=2 TOUGHNESS=2,MANA={G}{W}
POWER=2 TOUGHNESS=3,MANA={1}{G}{W}
POWER=4 TOUGHNESS=6,MANA={4}{B}{B}
POWER=0 TOUGHNESS=1,MANA={W}
POWER=2 TOUGHNESS=2,MANA={1}{W}
POWER=2 TOUGHNESS=5,MANA={1}{G}{G}
POWER=20 TOUGHNESS=20,MANA=
POWER=2 TOUGHNESS=2,MANA={4}{G}
POWER=3 TOUGHNESS=5,MANA={3}{G}
POWER=3 TOUGHNESS=2,MANA={R}
POWER=2 TOUGHNESS=2,MANA={2}{R}
POWER=6 TOUGHNESS=5,MANA={3}{R}{R}{R}
POWER=5 TOUGHNESS=5,MANA={W}{U}{B}{R}{G}
POWER=2 TOUGHNESS=2,MANA={3}{W}
POWER=1 TOUGHNESS=1,MANA={1}{W}
POWER=5 TOUGHNESS=6,MANA={5}{R}
POWER=3 TOUGHNESS=3,MANA={2}
POWER=5 TOUGHNESS=4,MANA={5}{U}
POWER=2 TOUGHNESS=2,MANA={2}{B}
POWER=2 TOUGHNESS=3,MANA={3}{W}
POWER=2 TOUGHNESS=4,MANA={3}{G}{G}
POWER=7 TOUGHNESS=6,MANA={3}{B}
POWER=1 TOUGHNESS=1,MANA={2}{B}
POWER=0 TOUGHNESS=2,MANA={G}
POWER=1 TOUGHNESS=1,MANA={1}{R}
POWER=1 TOUGHNESS=1,MANA={B}
POWER=3 TOUGHNESS=3,MANA=
POWER=2 TOUGHNESS=2,MANA={1}{B}
POWER=3 TOUGHNESS=4,MANA={1}{W}{W}
POWER=2 TOUGHNESS=3,MANA={2}{R}
POWER=5 TOUGHNESS=5,MANA={5}{B}{B}
POWER=2 TOUGHNESS=2,MANA={1}{G}
POWER=2 TOUGHNESS=1,MANA={1}{R}
POWER=1 TOUGHNESS=3,MANA={1}{G}
POWER=2 TOUGHNESS=3,MANA={1}{W}
POWER=3 TOUGHNESS=1,MANA={3}{G}
POWER=1 TOUGHNESS=1,MANA={1}{B}
POWER=2 TOUGHNESS=2,MANA={1}{B}
POWER=3 TOUGHNESS=3,MANA={3}{W}{W}
POWER=2 TOUGHNESS=1,MANA={1}{G}{G}
POWER=3 TOUGHNESS=3,MANA={1}{G}{W}
POWER=5 TOUGHNESS=5,MANA={2}{G}{G}
POWER=2 TOUGHNESS=2,MANA={2}{G}
POWER=2 TOUGHNESS=3,MANA={3}{B}
POWER=4 TOUGHNESS=3,MANA={4}{U}
POWER=2 TOUGHNESS=2,MANA={3}{B}
POWER=3 TOUGHNESS=4,MANA={3}{U}{B}
POWER=3 TOUGHNESS=2,MANA={3}{G} // {1}{G}
POWER=2 TOUGHNESS=2,MANA={5}
POWER=2 TOUGHNESS=5,MANA={3}{B}
POWER=2 TOUGHNESS=3,MANA={3}{U}
POWER=1 TOUGHNESS=3,MANA={4}
POWER=2 TOUGHNESS=4,MANA={3}{U}
POWER=3 TOUGHNESS=3,MANA={2}{B}{B}
POWER=6 TOUGHNESS=9,MANA={5}{U}
POWER=2 TOUGHNESS=3,MANA={1}{W}{B}
POWER=1 TOUGHNESS=1,MANA={R}
POWER=4 TOUGHNESS=2,MANA={5}
POWER=0 TOUGHNESS=3,MANA={1}{U}{B}
POWER=1 TOUGHNESS=1,MANA={W}
POWER=1 TOUGHNESS=1,MANA=
POWER=5 TOUGHNESS=3,MANA={2}{G}{G}
POWER=2 TOUGHNESS=4,MANA={1}{W}{W}
POWER=0 TOUGHNESS=1,MANA={5}
POWER=4 TOUGHNESS=5,MANA={4}{G}{G}
POWER=3 TOUGHNESS=3,MANA={3}
POWER=3 TOUGHNESS=4,MANA={3}{U}{U}
POWER=1 TOUGHNESS=1,MANA={1}{G}
POWER=0 TOUGHNESS=0,MANA={X}{X}{G}{G}
POWER=1 TOUGHNESS=1,MANA={2}{W}
POWER=0 TOUGHNESS=4,MANA={1}{U}
POWER=3 TOUGHNESS=4,MANA={3}{W}
POWER=0 TOUGHNESS=4,MANA={2}
POWER=2 TOUGHNESS=2,MANA={2}{R}
POWER=3 TOUGHNESS=4,MANA={3}{B}{B}
POWER=3 TOUGHNESS=4,MANA={4}{R}{R}
POWER=3 TOUGHNESS=2,MANA={3}{G}
POWER=3 TOUGHNESS=3,MANA={4}{G}{U}
POWER=4 TOUGHNESS=5,MANA={5}{U}
POWER=3 TOUGHNESS=5,MANA={1}{G}{U}
POWER=2 TOUGHNESS=2,MANA={1}{R}
POWER=9 TOUGHNESS=5,MANA={5}{G}{G}
POWER=2 TOUGHNESS=4,MANA={1}{W}{U}{B}
POWER=8 TOUGHNESS=8,MANA=
POWER=1 TOUGHNESS=1,MANA={W}
POWER=1 TOUGHNESS=1,MANA={R}
POWER=3 TOUGHNESS=4,MANA={3}{U}{B}
POWER=4 TOUGHNESS=3,MANA={3}{U}
POWER=4 TOUGHNESS=4,MANA={4}{B}{B}
POWER=2 TOUGHNESS=1,MANA={1}{U}
POWER=4 TOUGHNESS=4,MANA={4}{R}
POWER=3 TOUGHNESS=3,MANA={3}{U}{U}
POWER=2 TOUGHNESS=2,MANA={1}{U}
POWER=1 TOUGHNESS=1,MANA={1}{G}
POWER=2 TOUGHNESS=4,MANA={2}{W}{W}
POWER=3 TOUGHNESS=2,MANA={3}{G}
POWER=6 TOUGHNESS=6,MANA={3}{B}{B}
POWER=5 TOUGHNESS=5,MANA={5}{G}
POWER=3 TOUGHNESS=3,MANA={2}{G}
POWER=1 TOUGHNESS=1,MANA={W}
POWER=2 TOUGHNESS=3,MANA={2}{B}
POWER=4 TOUGHNESS=5,MANA={3}{W}
POWER=6 TOUGHNESS=5,MANA={4}{B}{R}{R}
POWER=3 TOUGHNESS=2,MANA={2}{G}
POWER=4 TOUGHNESS=4,MANA={5}{W}{W}{U}
POWER=3 TOUGHNESS=3,MANA={3}{W}
POWER=0 TOUGHNESS=3,MANA={5}
POWER=1 TOUGHNESS=2,MANA={G}{W}
POWER=4 TOUGHNESS=3,MANA={2}{W}{B}
POWER=6 TOUGHNESS=6,MANA={4}{B}{R}{G}
POWER=5 TOUGHNESS=5,MANA={3}{B}{B}
POWER=2 TOUGHNESS=3,MANA=
POWER=4 TOUGHNESS=4,MANA={3}{R}{W}
POWER=2 TOUGHNESS=2,MANA={W}{W}
POWER=2 TOUGHNESS=2,MANA={2}{B}
POWER=2 TOUGHNESS=2,MANA={W}{W}
POWER=3 TOUGHNESS=2,MANA={2}{B}
POWER=2 TOUGHNESS=4,MANA={3}{U}
POWER=3 TOUGHNESS=3,MANA={3}{R}
POWER=5 TOUGHNESS=5,MANA={3}{R}{G}
POWER=3 TOUGHNESS=2,MANA={2}{G}
POWER=* TOUGHNESS=5,MANA={2}{R}
POWER=1 TOUGHNESS=2,MANA={B}{R}{G}
POWER=1 TOUGHNESS=1,MANA={W}
POWER=6 TOUGHNESS=7,MANA={3}{G}{G}{G}
POWER=2 TOUGHNESS=2,MANA={1}{B}
POWER=4 TOUGHNESS=3,MANA={3}{R}
POWER=6 TOUGHNESS=4,MANA={6}{W}
POWER=3 TOUGHNESS=3,MANA={3}{U}{U}
POWER=8 TOUGHNESS=6,MANA={7}
POWER=1 TOUGHNESS=4,MANA={3}{R}
POWER=4 TOUGHNESS=4,MANA={6}{R}
POWER=2 TOUGHNESS=2,MANA={1}{B}
POWER=1 TOUGHNESS=2,MANA={1}{G}
POWER=1 TOUGHNESS=1,MANA={2}{W}{U}
POWER=1 TOUGHNESS=1,MANA={W}
POWER=2 TOUGHNESS=5,MANA={2}{U/B}{B}{B/R}
POWER=2 TOUGHNESS=3,MANA={W}{U}
POWER=2 TOUGHNESS=2,MANA={2}{R}
POWER=1 TOUGHNESS=3,MANA={2}{R}
POWER=5 TOUGHNESS=3,MANA={4}
POWER=1 TOUGHNESS=1,MANA={G}
POWER=0 TOUGHNESS=1,MANA={U}
POWER=1 TOUGHNESS=3,MANA={2}{B}
POWER=1 TOUGHNESS=2,MANA={1}{U/B}
POWER=0 TOUGHNESS=2,MANA={U}
POWER=8 TOUGHNESS=4,MANA={2}{R}{G}
POWER=3 TOUGHNESS=4,MANA={3}{U}
POWER=4 TOUGHNESS=4,MANA={5}{R}
POWER=5 TOUGHNESS=5,MANA={3}{G}{G}
POWER=3 TOUGHNESS=3,MANA={2}{W}{W}
POWER=5 TOUGHNESS=5,MANA={4}{R}
POWER=3 TOUGHNESS=3,MANA={3}{G}
POWER=3 TOUGHNESS=7,MANA={4}{G}
POWER=8 TOUGHNESS=8,MANA={4}{G}{G}{G}
POWER=2 TOUGHNESS=3,MANA={2}{G}
POWER=2 TOUGHNESS=2,MANA={1}{R}{R}{W}
POWER=3 TOUGHNESS=3,MANA={1}{B}{B}
POWER=3 TOUGHNESS=4,MANA={3}{W}{W}
POWER=3 TOUGHNESS=3,MANA={3}{B}
POWER=1 TOUGHNESS=3,MANA={3}{U}
POWER=1 TOUGHNESS=3,MANA={2}{B}
POWER=3 TOUGHNESS=3,MANA={2}{G}
POWER=3 TOUGHNESS=3,MANA={1}{R}{W}
POWER=2 TOUGHNESS=3,MANA={2}{W}
POWER=2 TOUGHNESS=3,MANA={1}{G}{G}
POWER=3 TOUGHNESS=3,MANA={3}{W}
POWER=3 TOUGHNESS=1,MANA={2}{B}
POWER=3 TOUGHNESS=4,MANA={4}{U}
POWER=5 TOUGHNESS=4,MANA={3}{B}{R}
POWER=2 TOUGHNESS=3,MANA={G}{U}
POWER=4 TOUGHNESS=3,MANA={2}{B}{R}
POWER=4 TOUGHNESS=5,MANA={4}{R}
POWER=1 TOUGHNESS=1,MANA={1}{W}
POWER=3 TOUGHNESS=2,MANA={3}{B}
POWER=4 TOUGHNESS=4,MANA={3}
POWER=4 TOUGHNESS=4,MANA=
POWER=4 TOUGHNESS=5,MANA={4}{W}
POWER=1 TOUGHNESS=3,MANA={1}{R}
POWER=2 TOUGHNESS=2,MANA={1}{W}
POWER=5 TOUGHNESS=6,MANA={5}{U}{U}
POWER=0 TOUGHNESS=0,MANA={X}{X}
POWER=3 TOUGHNESS=3,MANA={4}{W}
POWER=2 TOUGHNESS=3,MANA={2}{G}
POWER=2 TOUGHNESS=2,MANA={2}{W}
POWER=1 TOUGHNESS=1,MANA={1}{B}
POWER=3 TOUGHNESS=3,MANA={2}{U}{U}
POWER=1 TOUGHNESS=1,MANA={1}{U}
POWER=1 TOUGHNESS=1,MANA={B/G}
POWER=1 TOUGHNESS=1,MANA={2}{W}
POWER=4 TOUGHNESS=4,MANA={4}{W}
POWER=6 TOUGHNESS=6,MANA={3}{R}
POWER=4 TOUGHNESS=4,MANA={3}{W}{W}
POWER=4 TOUGHNESS=4,MANA=
POWER=2 TOUGHNESS=2,MANA={G}{G}
POWER=3 TOUGHNESS=3,MANA={3}{G}{G}
POWER=6 TOUGHNESS=6,MANA={5}{R}
POWER=1 TOUGHNESS=1,MANA={1}{W}{W}
POWER=0 TOUGHNESS=0,MANA={4}{G}{G}
POWER=8 TOUGHNESS=8,MANA={6}{R}{R}
POWER=3 TOUGHNESS=3,MANA={3}{G}
POWER=2 TOUGHNESS=2,MANA={2}{R}
POWER=5 TOUGHNESS=3,MANA={2}{B}{R}
POWER=2 TOUGHNESS=2,MANA={1}{G}
POWER=6 TOUGHNESS=6,MANA={3}{W}{U}{B}
POWER=0 TOUGHNESS=3,MANA={2}
POWER=7 TOUGHNESS=7,MANA={8}
POWER=3 TOUGHNESS=4,MANA={3}{U}
POWER=5 TOUGHNESS=5,MANA={5}{G}{G}
POWER=4 TOUGHNESS=4,MANA={3}{B}{B}
POWER=1 TOUGHNESS=1,MANA={1}{U}
POWER=1 TOUGHNESS=1,MANA={W}
POWER=4 TOUGHNESS=3,MANA={3}{U}{U}
POWER=4 TOUGHNESS=3,MANA={3}{G}
POWER=0 TOUGHNESS=1,MANA={1}{B}
POWER=2 TOUGHNESS=1,MANA={1}{W}
POWER=0 TOUGHNESS=8,MANA={1}{U}
POWER=3 TOUGHNESS=3,MANA=
POWER=1 TOUGHNESS=1,MANA={B}{B}
POWER=2 TOUGHNESS=3,MANA={2}{R}
POWER=3 TOUGHNESS=3,MANA={1}{B/R}{B/R}
POWER=3 TOUGHNESS=3,MANA={4}{R}{R}
POWER=3 TOUGHNESS=2,MANA={2}{W}
POWER=4 TOUGHNESS=4,MANA={4}{W}
POWER=3 TOUGHNESS=3,MANA={W/U}{W/U}{W/U}{W/U}
POWER=0 TOUGHNESS=0,MANA={4}
POWER=1 TOUGHNESS=1,MANA=
POWER=1 TOUGHNESS=2,MANA={2}{G}
POWER=4 TOUGHNESS=3,MANA={1}{G}{G}
POWER=2 TOUGHNESS=1,MANA={1}{R}
POWER=3 TOUGHNESS=4,MANA={1}{B}{R}
POWER=2 TOUGHNESS=3,MANA={2}{G}
POWER=3 TOUGHNESS=3,MANA={2}{W}{B}
POWER=9 TOUGHNESS=9,MANA={11}
POWER=3 TOUGHNESS=5,MANA={3}{R}{R}
POWER=5 TOUGHNESS=4,MANA={3}{B}{B}
POWER=3 TOUGHNESS=3,MANA={3}{U}{U}
POWER=1 TOUGHNESS=2,MANA={1}{W}
POWER=2 TOUGHNESS=2,MANA={2}{B}{R}
POWER=1 TOUGHNESS=3,MANA={1}{R}
POWER=1 TOUGHNESS=2,MANA={1}{R}{G}
POWER=5 TOUGHNESS=5,MANA={3}{G}
POWER=2 TOUGHNESS=3,MANA={3}{W}
POWER=2 TOUGHNESS=1,MANA={1}{R}
POWER=12 TOUGHNESS=12,MANA={8}{C}{C}
POWER=3 TOUGHNESS=1,MANA={1}{U}{U}
POWER=0 TOUGHNESS=0,MANA={2}{U}
POWER=3 TOUGHNESS=4,MANA={3}{B}
POWER=2 TOUGHNESS=2,MANA={1}{B}
POWER=2 TOUGHNESS=3,MANA={3}{G}
POWER=5 TOUGHNESS=5,MANA={5}{B}
POWER=6 TOUGHNESS=5,MANA={4}{R}{R}
POWER=6 TOUGHNESS=6,MANA={3}{R}{G}{W}
POWER=2 TOUGHNESS=3,MANA={1}{B}{G}
POWER=1 TOUGHNESS=1,MANA={B}
POWER=5 TOUGHNESS=5,MANA={W}{U}{B}{R}{G}
POWER=4 TOUGHNESS=2,MANA={2}{G}
POWER=1 TOUGHNESS=4,MANA={1}{U}{U}
POWER=2 TOUGHNESS=3,MANA={2}{U}
POWER=2 TOUGHNESS=1,MANA={2}{U}
POWER=3 TOUGHNESS=4,MANA={1}{B}{R}{G}
POWER=6 TOUGHNESS=6,MANA={4}{U}{U}
POWER=1 TOUGHNESS=1,MANA={2}{B}
POWER=* TOUGHNESS=*,MANA={R}
POWER=3 TOUGHNESS=3,MANA={3}{U}{U}
POWER=3 TOUGHNESS=2,MANA={2}{R}
POWER=2 TOUGHNESS=2,MANA={W}{U}
POWER=2 TOUGHNESS=2,MANA={3}{W}
POWER=1 TOUGHNESS=3,MANA={2}{U}{U}
POWER=3 TOUGHNESS=4,MANA={3}{G}
POWER=2 TOUGHNESS=1,MANA={2}{U}
POWER=3 TOUGHNESS=3,MANA={2}{W}
POWER=3 TOUGHNESS=2,MANA={2}{R}
POWER=6 TOUGHNESS=4,MANA={4}{G}{G}
POWER=2 TOUGHNESS=1,MANA={1}{W}
POWER=2 TOUGHNESS=2,MANA={1}{W}{W}
POWER=3 TOUGHNESS=5,MANA={3}{R}{R}
POWER=1 TOUGHNESS=1,MANA={W}
POWER=1 TOUGHNESS=3,MANA={2}{U}
POWER=2 TOUGHNESS=2,MANA={2}{G}{G}
POWER=3 TOUGHNESS=3,MANA={4}{R}
POWER=5 TOUGHNESS=5,MANA={3}{G}{G}
POWER=2 TOUGHNESS=4,MANA={2}{W}
POWER=3 TOUGHNESS=1,MANA=
POWER=3 TOUGHNESS=3,MANA={1}{G}{G}
POWER=1 TOUGHNESS=1,MANA={G}
POWER=2 TOUGHNESS=2,MANA={3}{W}
POWER=2 TOUGHNESS=2,MANA={1}{G}
POWER=2 TOUGHNESS=1,MANA={1}{U}
POWER=2 TOUGHNESS=1,MANA={2}
POWER=1 TOUGHNESS=3,MANA={3}{W}
POWER=3 TOUGHNESS=3,MANA={2}{W}{U}{U}
POWER=5 TOUGHNESS=4,MANA={4}{B}
POWER=2 TOUGHNESS=3,MANA={G}{U}
POWER=2 TOUGHNESS=2,MANA={1}{B}{B}
POWER=3 TOUGHNESS=2,MANA={2}{R}{R}
POWER=0 TOUGHNESS=1,MANA={3}{R}
POWER=2 TOUGHNESS=3,MANA={5}{U}{U}
